blog_link,title,date,topic,label,brief,claim,fact_check,tags,claim_name_entity,claim_organisation_entity,claim_location_entity,claim_misc_entity,fact_check_name_entity,fact_check_organisation_entity,fact_check_location_entity,fact_check_misc_entity
https://www.facebook.com/100064299542535/posts/133149135017009/,هل يموت مريض كورونا غرقا؟ - تحقق من صورة ينتشر لمريض بفيروس كورونا,2020-05-30,علوم وتكنولوجيا,غير صحيح جزئياً,,,,كورونا,,,,كورونا,,منظمة الصحة العالمية,,"كورونا
الفايروس
بكورونا
بفايروس"
https://www.facebook.com/NawernyLy/photos/a.106312567700666/122985882700001/?type=3,هل يوجد مليون حافظ للقرآن الكريم في ليبيا؟,2020-05-01,علوم وتكنولوجيا,تحقيقات,,,,"مليون حافظ , ليبيا , الاوقاف",,,ليبيا,,"نورني
معمر القذافي",,ليبيا,"الله
لكتاب
للقرآن
بالقرآن
القرآن
كتاب"
https://www.facebook.com/105233207808602/posts/116657293332860,هل حقًا نشر حلاق مرض كوفيد-19 في طرابلس؟,2020-04-17,علوم وتكنولوجيا,غير صحيح,,,,"ليبيا , كورونا , حلاق",,,طرابلس,كورونا,"نورني
بدر الدين النجار",,طرابلس,كورونا
https://www.facebook.com/105233207808602/posts/121809932817596,توضيح: الحظر التجاري فقط - لم تُفتح المساجد في ليبيا,2020-04-29,سياسة,غير صحيح,,,,"كورونا , المساجد , قرار",,,ليبيا,,,,,
https://www.facebook.com/105233207808602/posts/130235841975005,حقيقة قرار اللجنة العليا في بنغازي برفع الحظر عن المساجد أثناء الصلوات,2020-05-21,منوعات,صحيح,,,,"رفع حظر , ليبيا , كورونا",,,بنغازي,كورونا,,,بنغازي,كورونا
https://www.facebook.com/100064299542535/posts/121809932817596/,حقيقة إشاعة إلغاء حظر التجول وفتح المساجد في ليبيا,2020-04-29,سياسة,غير صحيح,,,,"ليبيا , حظر , مساجد","نورني
عبدالله",,"ليبيا
طرابلس","كورونا
الله","نورني
عبدالله",,"ليبيا
طرابلس","كورونا
الله"
https://www.facebook.com/photo.php?fbid=537666261720021&set=a.401034762049839&type=3,حقيقة صور السحر التي تضم صورة الطفل الراحل عزو المرجاوي,2023-01-10,منوعات,غير صحيح,,,,"عزو المرجاوي , ليبيا","عزو المرجاوي
عزو
safaxi7",,"طبرق
تونس
درنة
طرابلس
الزاوية
بنغازي
سبها
البقالطة
بمنكقة
ليبيا
نورني",الله,"عزو المرجاوي
عزو
safaxi7",,"طبرق
تونس
درنة
طرابلس
الزاوية
بنغازي
سبها
البقالطة
بمنكقة
ليبيا
نورني",الله
https://www.facebook.com/photo.php?fbid=645007067652606&set=a.401034762049839&type=3,فحص الادعاء الزائف حول وفاة الإعلامي الهادي الغناي,2023-07-05,منوعات,غير صحيح,,,,"صحافة , اعلام","الهادي الغناي
الهادي",نورني,,بالله,"الهادي الغناي
الهادي",نورني,,بالله
https://www.facebook.com/105233207808602/posts/115044683494121,فحص مزاعم خروج ليبيا من مرحلة الخطر بسبب فيروس كورونا من قبل منظمة الصحة العالمية,2020-04-14,منوعات,غير صحيح,,,,"ليبيا , منظمة الصحه العالمية , كورونا",نورني,"وتويتر
منظمة
الفيسبوك
تويتر
لمنظمة الصحة العالمية
who . int
منظمة الصحة العالمية
المنظمة
وفيسبوك
emro . who","ليبيا
المتوسط","كورونا
الله",نورني,"وتويتر
منظمة
الفيسبوك
تويتر
لمنظمة الصحة العالمية
who . int
منظمة الصحة العالمية
المنظمة
وفيسبوك
emro . who","ليبيا
المتوسط","كورونا
الله"
https://www.facebook.com/100064299542535/posts/658168576336455,هل صورة قدم ميسي بمقاس 15 حقيقية أم مفبركة؟,2023-07-30,رياضة,غير صحيح,,,,"ميسي , قدم ميسي",ميسي,nawerny,,,ميسي,nawerny,,
https://www.facebook.com/100064299542535/posts/467458952074086,فحص حقيقة ادعاء قتل رجل زوجته بسبب العصيدة في بنغازي,2022-10-09,منوعات,غير صحيح,,,,"صحافة , اعلام",,,"بنغازي
طبرق
الوحيشي",,,,"بنغازي
طبرق
الوحيشي",
https://www.facebook.com/100064299542535/posts/517353823751265,"تحقق: صور جديدة لـ ""أبو عجيلة مسعود المرميمي"" من سجنه في أمريكا؟",2022-12-13,منوعات,غير صحيح,,,,"صحافة , اعلام","Muhammad Khalifa
Abu Ajila Masoud Al - Marimi
Abu Ajila Al - Marimi
Masoud Abu",Lockerbie,"American
America",,"Muhammad Khalifa
Abu Ajila Masoud Al - Marimi
Abu Ajila Al - Marimi
Masoud Abu",Lockerbie,"American
America",
https://www.facebook.com/105233207808602/posts/122562352742354,هل انتشار مقاطع فيديو لأجسام طائرة مجهولة من قبل البنتاغون حقيقي؟,2020-04-30,منوعات,صحيح,,,,"صحافة , اعلام",,"BBC
البنتاغون
nytimes
CNN
euronews
skynewsarabia
يورو نيوز
bbc
alarabiya
cnn
defense
سكاي نيوز
NYT
alhurra
الحرة
theguardian",,"politics
pentagon",,"BBC
البنتاغون
nytimes
CNN
euronews
skynewsarabia
يورو نيوز
bbc
alarabiya
cnn
defense
سكاي نيوز
NYT
alhurra
الحرة
theguardian",,"politics
pentagon"
https://www.facebook.com/100064299542535/posts/643233364496643,هل توفي ناظم الطياري؟ الادعاء والحقيقة حول شائعة وفاته,2023-07-02,منوعات,غير صحيح,,,,"صحافة , اعلام","لناظم الطياري
ناظم الطياري
ناظم",نورني,,لله,"لناظم الطياري
ناظم الطياري
ناظم",نورني,,لله
https://www.facebook.com/100064299542535/posts/510201124466535,فحص حقيقة ادعاء صورة نصب ميدان الغزالة حول تمثال الغزالة,2022-12-05,منوعات,غير صحيح,,,,"صحافة , اعلام",,,طرابلس,,,,طرابلس,
https://www.facebook.com/105233207808602/posts/122930292705560,هل أصيب 70% من سكان مكة المكرمة بفايروس كورونا؟ - كشف حقيقة الادعاء,2020-05-01,منوعات,غير صحيح جزئياً,,,,"صحافة , اعلام",,"middleeast eye
ميدل إيست أي
middleeasteye
منظمة الصحة العالمية
الأمم المتحدة
نورني
United Nations Statistics","ليبيا
السعودية
saudi
مكة","كورونا
بفايروس",,"middleeast eye
ميدل إيست أي
middleeasteye
منظمة الصحة العالمية
الأمم المتحدة
نورني
United Nations Statistics","ليبيا
السعودية
saudi
مكة","كورونا
بفايروس"
https://www.facebook.com/105233207808602/posts/122640539401202,فحص حقيقة إمكانية الحصول على إيموجي جديد في الفيسبوك عن طريق التعليقات,2020-05-01,منوعات,غير صحيح,,,,"صحافة , اعلام",نورني,"للفيسبوك
الفيسبوك
فيسبوك
القوقل",,الإيموجي,نورني,"للفيسبوك
الفيسبوك
فيسبوك
القوقل",,الإيموجي
https://www.facebook.com/105233207808602/posts/126882442310345,فحص حقيقة الادعاءات حول حشرة تشبه الدبور القاتلة في آسيا,2020-05-12,منوعات,غير صحيح جزئياً,,,,"صحافة , اعلام","نورني
Asian","BBC
sandeshnewspaper
aawsat
nytimes
VizagGasL
Bengalreport
يوتيوب
الشرق الأوسط
alhurra
سميثونيان
نيويورك تايمز","الهند
أمريكا
طوكيو
لإيران
اليابان
الصين
Visakhapatnam",ويكيبيديا,"نورني
Asian","BBC
sandeshnewspaper
aawsat
nytimes
VizagGasL
Bengalreport
يوتيوب
الشرق الأوسط
alhurra
سميثونيان
نيويورك تايمز","الهند
أمريكا
طوكيو
لإيران
اليابان
الصين
Visakhapatnam",ويكيبيديا
https://www.facebook.com/100064299542535/posts/463886185764696,حقيقة تحطم جناح طائرة تابعة للخطوط الجوية القطرية بسبب عمود إنارة في مطار معيتيقة في طرابلس,2022-10-04,منوعات,غير صحيح,,,,"صحافة , اعلام",chicago,"FactCheck
الخطوط الجوية القطرية
dohanews
doha news","أمريكا
طرابلس
معيتيقة
qatar
شيكاغو
ليبيا",777,chicago,"FactCheck
الخطوط الجوية القطرية
dohanews
doha news","أمريكا
طرابلس
معيتيقة
qatar
شيكاغو
ليبيا",777
https://www.facebook.com/105233207808602/posts/128301698835086,تحقق: هل رقم الهاتف المذكور في منشور عن توزيع ملابس العيد للمحتاجين فعلاً غير مستعمل؟,2020-05-16,منوعات,غير صحيح,,,,"صحافة , اعلام",,فريق إنجاز بلا حدود,,,,فريق إنجاز بلا حدود,,
https://www.facebook.com/105233207808602/posts/115312956800627,تحقق: تصريحات المركز الوطني لمكافحة الأمراض في ليبيا بشأن حالات الإصابة بفيروس كورونا,2020-04-14,منوعات,تحقيقات,,,,"صحافة , اعلام",,,ليبيا,"كورونا
الله
بفايروس",,,ليبيا,"كورونا
الله
بفايروس"
https://www.facebook.com/105233207808602/posts/460343148964271,فحص صورة مزعومة للطفل ريان بعد وفاته,2022-02-06,منوعات,غير صحيح,,,,"صحافة , اعلام","أرماني قونزاليس
ريان",wfmynews2,نورث كارولاينا,الله,"أرماني قونزاليس
ريان",wfmynews2,نورث كارولاينا,الله
https://www.facebook.com/105233207808602/posts/125450102453579,حقيقة ادعاء تحرك للصخور أمام الشواطيء الليبية وتحذيرات من حدوث أمر خطير,2020-05-08,منوعات,غير صحيح,,,,"صحافة , اعلام","نورني
emsc","emsc
earthquake","لليونان
اليونان
البحر الأبيض المتوسط
ليبيا
البريقة","ريختر
التسونامي
تسونامي","نورني
emsc","emsc
earthquake","لليونان
اليونان
البحر الأبيض المتوسط
ليبيا
البريقة","ريختر
التسونامي
تسونامي"
https://www.facebook.com/105233207808602/posts/119098763088713,تحقق: موعد بداية شهر رمضان حسب الجهات الرسمية في ليبيا,2020-04-22,منوعات,غير صحيح,,,,"صحافة , اعلام",,,ليبيا,,,,ليبيا,
https://www.facebook.com/105233207808602/posts/125421799123076,هل الدلاع يحتوي على النترات الضارة؟ تحقق معلومة مضللة حول البطيخ,2020-05-08,منوعات,غير صحيح,,,,"صحافة , اعلام",,"bbc
نورني
BBC",,,,"bbc
نورني
BBC",,
https://www.facebook.com/100064299542535/posts/620148066805173,حقيقة ادعاء خطورة جسر وادي الكوف: تحقق من الصور والمعلومات,2023-05-23,منوعات,غير صحيح,,,,"صحافة , اعلام","ناصر الورشفاني
أحمد عباس",,الكوف,,"ناصر الورشفاني
أحمد عباس",,الكوف,
https://www.facebook.com/105233207808602/posts/124931472505442,حقيقة إشاعة نهاية فيروس كورونا في رمضان ومذكور في القرآن,2020-05-06,منوعات,غير صحيح,,,,"صحافة , اعلام",نورني,EgyptDarAlIfta,,"كورونا
القرآن
الفيس
الله",نورني,EgyptDarAlIfta,,"كورونا
القرآن
الفيس
الله"
https://www.facebook.com/105233207808602/posts/121649259500330,حقيقة تحذير منظمة الصحة العالمية من تداعيات ظهور فيروس كورونا الجديد في ليبيا,2020-04-28,منوعات,صحيح,,,,"صحافة , اعلام","المنظري
أحمد المنظري","لمنظمة الصحة العالمية
منظمة الصحة العالمية","سوريا
واليمن
وسوريا
ليبيا
وليبيا","كورونا
الله","المنظري
أحمد المنظري","لمنظمة الصحة العالمية
منظمة الصحة العالمية","سوريا
واليمن
وسوريا
ليبيا
وليبيا","كورونا
الله"
https://www.facebook.com/105233207808602/posts/117522316579691,تفنيد خبر فتح اعتمادات أرباب الأسر على صفحة مزورة للمصرف المركزي في طرابلس,2020-04-19,منوعات,غير صحيح,,,,"صحافة , اعلام",نورني,CentralBankofLibya,طرابلس,الله,نورني,CentralBankofLibya,طرابلس,الله
https://www.facebook.com/105233207808602/posts/439422527723000,تحقق: السيدة التي تستدرج الشباب وتقوم بقص خصيتيهم في ليبيا؟,2022-01-03,منوعات,غير صحيح,,,,"صحافة , اعلام",نورني,"tinyurl
gulan
iq
gulanmedia
iq news
نورني
iqiraq
شفق","والعراق
سوريا
السليمانية
ليبيا
العراق
وليبيا",,نورني,"tinyurl
gulan
iq
gulanmedia
iq news
نورني
iqiraq
شفق","والعراق
سوريا
السليمانية
ليبيا
العراق
وليبيا",
https://www.facebook.com/105233207808602/posts/123368142661775,حقيقة فوائد الصيام للصحة والوقاية من الأمراض,2020-05-02,منوعات,صحيح,,,,"صحافة , اعلام",,"نورني
health
ncbi
جامعة هارفرد",,"الإسلام
كالوري",,"نورني
health
ncbi
جامعة هارفرد",,"الإسلام
كالوري"
https://www.facebook.com/100064299542535/posts/535455865274394,فضح صورة معدلة للمغنية شيرين: ادعاء مضحك ❌ وحقيقة التعديلات السخيفة ✅,2023-01-06,منوعات,غير صحيح,,,,"صحافة , اعلام",شيرين,FaceApp,,صاحبة السعادة,شيرين,FaceApp,,صاحبة السعادة
https://www.facebook.com/105233207808602/posts/127996312198958,هل تسبب عادة لعق الأصابع عدوى؟ تحقق من الحقائق حول هذه العادة السيئة,2020-05-15,منوعات,صحيح,,,,"صحافة , اعلام",نورني,"ncbi
الديلي ميل",الولايات المتحدة,كورونا,نورني,"ncbi
الديلي ميل",الولايات المتحدة,كورونا
https://www.facebook.com/105233207808602/posts/127221055609817,حقيقة إشاعة إعادة فتح المساجد في ليبيا يوم الجمعة المقبل,2020-05-13,منوعات,غير صحيح,,,,"صحافة , اعلام","عبدالله الثني
فايز السراج","OqafLibya
AwqafLibya
LibyanGovernment
GovernmentLY",,الله,"عبدالله الثني
فايز السراج","OqafLibya
AwqafLibya
LibyanGovernment
GovernmentLY",,الله
https://www.facebook.com/105233207808602/posts/124767109188545,تحقق: فايروس كورونا لم يصبح أضعف بنسبة 60%,2020-05-06,منوعات,غير صحيح,,,,"صحافة , اعلام",نورني,"BBC
غلاسكو
academic
who
bbc
University College London
منظمة الصحة العالمية
sciencedirect
UCL
جامعة
biorxiv",,"كورونا
الله
فايروس",نورني,"BBC
غلاسكو
academic
who
bbc
University College London
منظمة الصحة العالمية
sciencedirect
UCL
جامعة
biorxiv",,"كورونا
الله
فايروس"
https://www.facebook.com/105233207808602/posts/116700519995204,فيديو: نفي خبر انتشار فيروس كورونا عند حلاق في طرابلس - الحقيقة والتدقيق في المعلومات,2020-04-17,منوعات,غير صحيح,,,,"صحافة , اعلام","النجار
نورني
بدر الدين النجار",,"ليبيا
طرابلس",كورونا,"النجار
نورني
بدر الدين النجار",,"ليبيا
طرابلس",كورونا
https://www.facebook.com/100064299542535/posts/495667115919936,تحقق: هل الصورة التي تظهر حركة الطيران المتجهة لقطر حقيقية أم كاريكاتير؟,2022-11-15,منوعات,غير صحيح,,,,"صحافة , اعلام",سعد المهندي,الوطن,"لقطر
حمد
الدوحة",,سعد المهندي,الوطن,"لقطر
حمد
الدوحة",
https://www.facebook.com/105233207808602/posts/542832820715303,ما حقيقة أكبر خريج من كلية الطب بليبيا,2022-06-13,منوعات,غير صحيح,,,,"صحافة , اعلام","أحمد هيلان أبو أحمد
محمد","الثقة نيوز
altheqanews
nabd
sarayanews
سرايا نيوز
نبض
أخبار الأردن","ليبيا
بليبيا",,"أحمد هيلان أبو أحمد
محمد","الثقة نيوز
altheqanews
nabd
sarayanews
سرايا نيوز
نبض
أخبار الأردن","ليبيا
بليبيا",
https://www.facebook.com/105233207808602/posts/458518572480062,هل هذه الصورة في الجبل الأخضر؟ تحقق من الادعاءات المضللة المتداولة على وسائل التواصل الاجتماعي,2022-02-03,منوعات,غير صحيح,,,,"صحافة , اعلام","مالك كايا
مابك كايا",wowturkey,"الجبل الأخضر
تركيا
تونسيل",,"مالك كايا
مابك كايا",wowturkey,"الجبل الأخضر
تركيا
تونسيل",
https://www.facebook.com/105233207808602/posts/122598246072098,تحقق: هل تسريبات من البيت الأبيض تشير إلى أن فيروس كورونا خدعة؟,2020-04-30,منوعات,غير صحيح جزئياً,,,,"صحافة , اعلام","وميلز
روبرتس
جون روبرتس
دوغ ميلز
ميلز","Instagram
BBC
أسوشييتد برس
dw
أسوشيتد برس
who
فوكس نيوز
who . int
منظمة الصحة العالمية
bbc
DW
نيويورك تايمز","كاليفورنيا
لوس أنجلوس","كورونا
للبيت الأبيض
البيت الأبيض
COVID","وميلز
روبرتس
جون روبرتس
دوغ ميلز
ميلز","Instagram
BBC
أسوشييتد برس
dw
أسوشيتد برس
who
فوكس نيوز
who . int
منظمة الصحة العالمية
bbc
DW
نيويورك تايمز","كاليفورنيا
لوس أنجلوس","كورونا
للبيت الأبيض
البيت الأبيض
COVID"
https://www.facebook.com/100064299542535/posts/519945406825440,كريستيانو رونالدو: هل تبرع بحذائه الذهبي لأطفال فلسطين؟,2022-12-16,منوعات,غير صحيح,,,,"صحافة , اعلام","كريستيانو رونالدو
كريستيانو
museucr7",FactCheck,"البرتغال
المغرب
فلسطين
قطر
Libya",كأسالعالم,"كريستيانو رونالدو
كريستيانو
museucr7",FactCheck,"البرتغال
المغرب
فلسطين
قطر
Libya",كأسالعالم
https://www.facebook.com/105233207808602/posts/398504941814759,فحص صورة وخبر ترشيح فايز السراج لانتخابات الرئاسة,2021-10-29,منوعات,غير صحيح,,,,"صحافة , اعلام","فايز السراج
لفايز السراج",,,,"فايز السراج
لفايز السراج",,,
https://www.facebook.com/105233207808602/posts/126563852342204,ظاهرة_غريبة في سماء االسعودية ؟,2020-05-11,منوعات,غير صحيح,,,,"صحافة , اعلام",,نورني,"ماليزيا
السعودية
ليبيا",,,نورني,"ماليزيا
السعودية
ليبيا",
https://www.facebook.com/105233207808602/posts/132439488421307,تحقق: خبر مقتل المهاجرين في مزدة,2020-05-28,منوعات,صحيح,,,,"صحافة , اعلام",,,"ليبيا
مزدة",,,,"ليبيا
مزدة",
https://www.facebook.com/105233207808602/posts/438630134468906,تحقق: صورة ضحية مقبرة جماعية في ترهونة الليبية أم في البيرو؟,2022-01-01,منوعات,غير صحيح,,,,"صحافة , اعلام",,"sciencealert
tinyurl
bbc
ساينتفيك ألرت
رويترز
reuters","البيرو
ترهونة
ليما
ليبيا
كاجاماركويلا",,,"sciencealert
tinyurl
bbc
ساينتفيك ألرت
رويترز
reuters","البيرو
ترهونة
ليما
ليبيا
كاجاماركويلا",
https://www.facebook.com/105233207808602/posts/119443303054259,تحقق: هل أكدت منظمة الصحة العالمية أن فيروس كورونا المستجد نشأ في الخفافيش داخل الصين؟,2020-04-23,منوعات,صحيح,,,,"صحافة , اعلام",,"الجزيرة
CNBC
فوكس نيوز
لمنظمة الصحة العالمية
منظمة الصحة العالمية
foxnews
cnbc
aljazeera","للصين
الصين",كورونا,,"الجزيرة
CNBC
فوكس نيوز
لمنظمة الصحة العالمية
منظمة الصحة العالمية
foxnews
cnbc
aljazeera","للصين
الصين",كورونا
https://www.facebook.com/105233207808602/posts/147493800249209,تحقق: هل تم فتح اعتمادات مخصصات أرباب الأسر؟ الادعاءات بأنباء غير صحيحة ومصدرها صفحة مزورة,2020-07-15,منوعات,غير صحيح,,,,"صحافة , اعلام",,"مصرف
CbankOfLibiya
CentralBankofLibya
لمصرف ليبيا المركزي",,,,"مصرف
CbankOfLibiya
CentralBankofLibya
لمصرف ليبيا المركزي",,
https://www.facebook.com/105233207808602/posts/125053469159909,هل سيتأخر فصل الصيف بسبب إغلاق ثقب الأوزون؟ فحص حقائق الادعاءات,2020-05-07,منوعات,غير صحيح,,,,"صحافة , اعلام",نورني,"وكالة الفضاء الأوروبية
dw
DW
إيسا
وكالة
CopernicusECMWF
spaceplace
ناسا","مونتريال
أوروبا","كورونا
CFCs
بالأوزون
الكلوروفلوروكاربونات
ozone
الأوزون",نورني,"وكالة الفضاء الأوروبية
dw
DW
إيسا
وكالة
CopernicusECMWF
spaceplace
ناسا","مونتريال
أوروبا","كورونا
CFCs
بالأوزون
الكلوروفلوروكاربونات
ozone
الأوزون"
https://www.facebook.com/105233207808602/posts/121864096145513,تحقق: هل أعلن الشيخ عبدالرحمن السديس عن عودة الصلاة والطواف والسعي في الحرمين الشريفين في غضون أيام؟,2020-04-29,منوعات,صحيح,,,,"صحافة , اعلام","السديس
عبدالرحمن السديس","نورني
العربية",,"الحرم
المسجد","السديس
عبدالرحمن السديس","نورني
العربية",,"الحرم
المسجد"
https://www.facebook.com/105233207808602/posts/117067059958550,فحص حقيقة ادعاء تطعيم الملاريا ضد فيروس كورونا في ليبيا,2020-04-18,منوعات,غير صحيح,,,,"صحافة , اعلام","نورني
Malaria","ميدسكيب
medscape
who
منظمة الصحة العالمية
ويكيبيديا","ليبيا
malaria","كورونا
بفايروس
الكورونا
بكورونا
الملاريا
كلوريكوين","نورني
Malaria","ميدسكيب
medscape
who
منظمة الصحة العالمية
ويكيبيديا","ليبيا
malaria","كورونا
بفايروس
الكورونا
بكورونا
الملاريا
كلوريكوين"
https://www.facebook.com/100064299542535/posts/510181011135213,حقيقة صورة عامل الديليفري وادعاء سرقة دراجته في بنغازي,2022-12-05,منوعات,غير صحيح,,,,"صحافة , اعلام",,"Erbil
كريستال
Cristal
فندق","بنغازي
كردستان
أربيل
ليبيا
العراق","ديليفري
الديليفري",,"Erbil
كريستال
Cristal
فندق","بنغازي
كردستان
أربيل
ليبيا
العراق","ديليفري
الديليفري"
https://www.facebook.com/105233207808602/posts/549766803355238,كذبة ادعاء العثور على جثة معمر القذافي في الصحراء الليبية,2022-06-23,منوعات,غير صحيح,,,,"صحافة , اعلام","عايد
معمر القذافي",تيك,"الجفرة
سرت",,"عايد
معمر القذافي",تيك,"الجفرة
سرت",
https://www.facebook.com/105233207808602/posts/133493791649210,تحقق: هل تم رفع علم ليبيا في مظاهرات أمريكية؟,2020-05-31,منوعات,غير صحيح,,,,"صحافة , اعلام",Pan,ويكيبيديا,"ليبيا
أمريكا",,Pan,ويكيبيديا,"ليبيا
أمريكا",
https://www.facebook.com/105233207808602/posts/128321628833093,حقيقة ظاهرة سبات الشمس وتأثيرها على العالمية,2020-05-16,منوعات,صحيح,,,,"صحافة , اعلام",,"jpl
فوربس
forbes
jamiecartereurope
نيويورك بوست
nypost
thesun
reuters
Solar
سبوتنيك
skynewsarabia
سكاي نيوز
ذا صن
رويترز
ناسا
وكالة ناسا",jamiecartereurope,ويكيبيديا,,"jpl
فوربس
forbes
jamiecartereurope
نيويورك بوست
nypost
thesun
reuters
Solar
سبوتنيك
skynewsarabia
سكاي نيوز
ذا صن
رويترز
ناسا
وكالة ناسا",jamiecartereurope,ويكيبيديا
https://www.facebook.com/100064299542535/posts/514837017336279,فحص حقيقة ادعاء وضع طفلة على قيد الحياة في ثلاجة الموتى في مركز بنغازي الطبي,2022-12-11,منوعات,غير صحيح,,,,"صحافة , اعلام",رتاج محمد الاوجلي,الجلاء,بنغازي,,رتاج محمد الاوجلي,الجلاء,بنغازي,
